00B5,03BC,C
03E2,03E3,C
03E4,03E5,C
03E6,03E7,C
03E8,03E9,C
03EA,03EB,C
03EC,03ED,C
03EE,03EF,C
0531,0561,C
0532,0562,C
0533,0563,C
0534,0564,C
0535,0565,C
0536,0566,C
0537,0567,C
0538,0568,C
0539,0569,C
053A,056A,C
053B,056B,C
053C,056C,C
053D,056D,C
053E,056E,C
053F,056F,C
0540,0570,C
0541,0571,C
0542,0572,C
0543,0573,C
0544,0574,C
0545,0575,C
0546,0576,C
0547,0577,C
0548,0578,C
0549,0579,C
054A,057A,C
054B,057B,C
054C,057C,C
054D,057D,C
054E,057E,C
054F,057F,C
0550,0580,C
0551,0581,C
0552,0582,C
0553,0583,C
0554,0584,C
0555,0585,C
0556,0586,C
0587,"0565 0582",F
10A0,2D00,C
10A1,2D01,C
10A2,2D02,C
10A3,2D03,C
10A4,2D04,C
10A5,2D05,C
10A6,2D06,C
10A7,2D07,C
10A8,2D08,C
10A9,2D09,C
10AA,2D0A,C
10AB,2D0B,C
10AC,2D0C,C
10AD,2D0D,C
10AE,2D0E,C
10AF,2D0F,C
10B0,2D10,C
10B1,2D11,C
10B2,2D12,C
10B3,2D13,C
10B4,2D14,C
10B5,2D15,C
10B6,2D16,C
10B7,2D17,C
10B8,2D18,C
10B9,2D19,C
10BA,2D1A,C
10BB,2D1B,C
10BC,2D1C,C
10BD,2D1D,C
10BE,2D1E,C
10BF,2D1F,C
10C0,2D20,C
10C1,2D21,C
10C2,2D22,C
10C3,2D23,C
10C4,2D24,C
10C5,2D25,C
10C7,2D27,C
10CD,2D2D,C
2126,03C9,C
212A,006B,C
212B,00E5,C
2132,214E,C
2C00,2C30,C
2C01,2C31,C
2C02,2C32,C
2C03,2C33,C
2C04,2C34,C
2C05,2C35,C
2C06,2C36,C
2C07,2C37,C
2C08,2C38,C
2C09,2C39,C
2C0A,2C3A,C
2C0B,2C3B,C
2C0C,2C3C,C
2C0D,2C3D,C
2C0E,2C3E,C
2C0F,2C3F,C
2C10,2C40,C
2C11,2C41,C
2C12,2C42,C
2C13,2C43,C
2C14,2C44,C
2C15,2C45,C
2C16,2C46,C
2C17,2C47,C
2C18,2C48,C
2C19,2C49,C
2C1A,2C4A,C
2C1B,2C4B,C
2C1C,2C4C,C
2C1D,2C4D,C
2C1E,2C4E,C
2C1F,2C4F,C
2C20,2C50,C
2C21,2C51,C
2C22,2C52,C
2C23,2C53,C
2C24,2C54,C
2C25,2C55,C
2C26,2C56,C
2C27,2C57,C
2C28,2C58,C
2C29,2C59,C
2C2A,2C5A,C
2C2B,2C5B,C
2C2C,2C5C,C
2C2D,2C5D,C
2C80,2C81,C
2C82,2C83,C
2C84,2C85,C
2C86,2C87,C
2C88,2C89,C
2C8A,2C8B,C
2C8C,2C8D,C
2C8E,2C8F,C
2C90,2C91,C
2C92,2C93,C
2C94,2C95,C
2C96,2C97,C
2C98,2C99,C
2C9A,2C9B,C
2C9C,2C9D,C
2C9E,2C9F,C
2CA0,2CA1,C
2CA2,2CA3,C
2CA4,2CA5,C
2CA6,2CA7,C
2CA8,2CA9,C
2CAA,2CAB,C
2CAC,2CAD,C
2CAE,2CAF,C
2CB0,2CB1,C
2CB2,2CB3,C
2CB4,2CB5,C
2CB6,2CB7,C
2CB8,2CB9,C
2CBA,2CBB,C
2CBC,2CBD,C
2CBE,2CBF,C
2CC0,2CC1,C
2CC2,2CC3,C
2CC4,2CC5,C
2CC6,2CC7,C
2CC8,2CC9,C
2CCA,2CCB,C
2CCC,2CCD,C
2CCE,2CCF,C
2CD0,2CD1,C
2CD2,2CD3,C
2CD4,2CD5,C
2CD6,2CD7,C
2CD8,2CD9,C
2CDA,2CDB,C
2CDC,2CDD,C
2CDE,2CDF,C
2CE0,2CE1,C
2CE2,2CE3,C
2CEB,2CEC,C
2CED,2CEE,C
2CF2,2CF3,C
FB13,"0574 0576",F
FB14,"0574 0565",F
FB15,"0574 056B",F
FB16,"057E 0576",F
FB17,"0574 056D",F
10400,10428,C
10401,10429,C
10402,1042A,C
10403,1042B,C
10404,1042C,C
10405,1042D,C
10406,1042E,C
10407,1042F,C
10408,10430,C
10409,10431,C
1040A,10432,C
1040B,10433,C
1040C,10434,C
1040D,10435,C
1040E,10436,C
1040F,10437,C
10410,10438,C
10411,10439,C
10412,1043A,C
10413,1043B,C
10414,1043C,C
10415,1043D,C
10416,1043E,C
10417,1043F,C
10418,10440,C
10419,10441,C
1041A,10442,C
1041B,10443,C
1041C,10444,C
1041D,10445,C
1041E,10446,C
1041F,10447,C
10420,10448,C
10421,10449,C
10422,1044A,C
10423,1044B,C
10424,1044C,C
10425,1044D,C
10426,1044E,C
10427,1044F,C
118A0,118C0,C
118A1,118C1,C
118A2,118C2,C
118A3,118C3,C
118A4,118C4,C
118A5,118C5,C
118A6,118C6,C
118A7,118C7,C
118A8,118C8,C
118A9,118C9,C
118AA,118CA,C
118AB,118CB,C
118AC,118CC,C
118AD,118CD,C
118AE,118CE,C
118AF,118CF,C
118B0,118D0,C
118B1,118D1,C
118B2,118D2,C
118B3,118D3,C
118B4,118D4,C
118B5,118D5,C
118B6,118D6,C
118B7,118D7,C
118B8,118D8,C
118B9,118D9,C
118BA,118DA,C
118BB,118DB,C
118BC,118DC,C
118BD,118DD,C
118BE,118DE,C
118BF,118DF,C
